error,param
0.6512977289742949,"{'max_depth': 10, 'n_estimators': 1000}"
0.6482405789867731,"{'max_depth': 15, 'n_estimators': 1000}"
0.64780384327427,"{'max_depth': 5, 'n_estimators': 1000}"
0.647304716745695,"{'max_depth': 10, 'n_estimators': 100}"
0.6446219116546045,"{'max_depth': 5, 'n_estimators': 100}"
0.6431245320688794,"{'max_depth': 15, 'n_estimators': 100}"
